Calibration Standards
Skip,Sample Type,Sample Name,SampleWeight or Volume,FinalWeight or Volume,Total Dil.,Vial#,Level
True,Sample,RINSE,,,,1,
True,Sample,RINSE,,,,1,
True,Sample,RINSE,,,,1,
True,Sample,RINSE,,,,1,
True,Sample,RINSE,,,,1,
True,Sample,RINSE,,,,1,
True,Sample,RINSE,,,,1,
True,Sample,BLANK,,,,1,
True,Sample,BLANK,,,,1,
True,Sample,BLANK,,,,1,
True,Sample,BLANK,,,,1,
True,Sample,BLANK,,,,1,
True,CalBlk,Blank,,,,2101,Level 1
True,CalStd,Std 1,,,,2102,Level 2
True,CalStd,Std 2,,,,2103,Level 3
True,CalStd,Std 3,,,,2104,Level 4
True,CalStd,Std 4,,,,2105,Level 5
True,Sample,RINSE,,,,1,
True,Sample,RINSE,,,,1,
True,Sample,RINSE,,,,1,
True,Sample,RINSE,,,,1,
True,QC1,ICV,,,,2106,
True,Sample,RINSE,,,,1,
True,Sample,RINSE,,,,1,
True,Sample,RINSE,,,,1,
True,Sample,RINSE,,,,1,
False,,,,,,,
False,,,,,,,
False,,,,,,,
False,,,,,,,
False,,,,,,,
False,,,,,,,
False,,,,,,,
False,,,,,,,
False,,,,,,,
False,,,,,,,
False,,,,,,,
False,,,,,,,
False,,,,,,,
False,,,,,,,
False,,,,,,,
False,,,,,,,
False,,,,,,,
False,,,,,,,
False,,,,,,,
False,,,,,,,
False,,,,,,,
False,,,,,,,
False,,,,,,,
False,,,,,,,
