Unknown Samples
Skip,Sample Type,Sample Name,SampleWeight or Volume,FinalWeight or Volume,Total Dil.,Vial#,Level
True,Sample,RB POW 271124,1,1,1.0000,2201,
True,Sample,IQC POW BLK 271124,0.501,49.993,99.7864,2202,
True,Sample,IQC POW A 271124,0.501,50.024,299.5449,2203,
True,Sample,RINSE,,,,1,
True,Sample,RINSE,,,,1,
True,Sample,IQC POW B 271124,0.504,50.071,298.0417,2204,
True,Sample,RINSE,,,,1,
True,Sample,RINSE,,,,1,
True,Sample,2024110015,0.504,50.021,99.2480,2205,
True,Sample,RB POW 041224,1,1,1.0000,2206,
True,Sample,RINSE,1,1,1.0000,1,
True,Sample,RINSE,,,,1,
True,Sample,RINSE,,,,1,
True,Sample,IQC POW BLK 041224,0.504,50.138,99.4802,2207,
True,Sample,IQC POW A 041224,0.502,50.027,298.9661,2208,
True,Sample,RINSE,,,,1,
True,Sample,RINSE,,,,1,
True,Sample,IQC POW B 041224,0.502,50.009,298.8586,2209,
True,Sample,RINSE,,,,1,
True,Sample,RINSE,,,,1,
True,QC1,CCV,,,,2106,
True,Sample,RINSE,,,,1,
True,Sample,RINSE,,,,1,
True,Sample,2024110124,0.502,50.056,99.7131,2210,
True,Sample,2024110125,0.504,50.038,99.2817,2211,
True,Sample,2024110126,0.5,50.065,100.1300,2212,
True,Sample,2024110127,0.505,50.044,99.0970,2301,
True,Sample,2024110128,0.504,50.035,99.2758,2302,
True,Sample,2024110129,0.501,50.081,99.9621,2303,
True,Sample,2024110130,0.505,50.034,99.0772,2304,
True,Sample,2024110131,0.506,50.07,98.9526,2305,
True,Sample,2024110137,0.509,50.052,98.3340,2306,
True,Sample,RINSE,,,,1,
True,Sample,RINSE,,,,1,
True,QC1,CCV,,,,2106,
True,Sample,RINSE,,,,1,
True,Sample,RINSE,,,,1,
True,Sample,RINSE,,,,1,
True,Sample,RINSE,,,,1,
True,Sample,RINSE,,,,1,
True,Sample,RINSE,,,,1,
True,Sample,2024110162,0.503,50.001,99.4056,2307,
True,Sample,RB LIQ 101224,1,1,1.0000,2308,
True,Sample,IQC LIQ BLK 101224,0.502,50.082,99.7649,2309,
True,Sample,RINSE,,,,1,
True,Sample,IQC LIQ A 101224,0.502,50.1,299.4024,2310,
True,Sample,RINSE,,,,1,
True,Sample,RINSE,,,,1,
True,Sample,IQC LIQ B 101224,0.502,50.02,298.9243,2311,
True,Sample,2024110121,0.503,50.001,99.4056,2312,
True,Sample,RINSE,,,,1,
True,Sample,RINSE,,,,1,
True,Sample,RINSE,,,,1,
True,Sample,RINSE,,,,1,
True,Sample,RINSE,,,,1,
True,Sample,RINSE,,,,1,
True,Sample,RINSE,,,,1,
True,Sample,RINSE,,,,1,
True,QC1,CCV,,,,2106,
True,Sample,RINSE,,,,1,
True,Sample,RINSE,,,,1,
True,Sample,RINSE,,,,1,
True,Sample,RINSE,,,,1,
True,Sample,RINSE,,,,1,
False,,,,,,,
False,,,,,,,
False,,,,,,,
False,,,,,,,
False,,,,,,,
False,,,,,,,
False,,,,,,,
False,,,,,,,
